audit_id,queue_type,project,cve,changed_line_bucket,source_pool,gold_vulnerable_side,model_vulnerable_side,pilot_vulnerable_side,final_vulnerable_side,label_status,evidence_span_sufficient,final_evidence_window_ids,reviewer,is_ai_filled,is_human_confirmed,rationale
manual_evidence_audit::211::2::squid__780c4ea1b4c9d2fb41f6962aa6ed73ae57f74b2b__CVE-2021-46784,high_quality_disagreement,squid,CVE-2021-46784,26+,fresh_seeds_top5_v1,A,A,B,B,corrected_side,yes,B3,codex_ai_adjudication_v1,True,False,Side B removes bounded snprintf temporary-buffer handling and reintroduces appendf formatting; selected window directly supports the pilot side.
manual_evidence_audit::401::3::cyrus-imapd__621f9e41465b521399f691c241181300fab55995__CVE-2021-32056,high_quality_disagreement,cyrus-imapd,CVE-2021-32056,11-25,fresh_seeds_top5_v1,A,A,B,unclear,insufficient_context,no,,codex_ai_adjudication_v1,True,False,Selected window mostly shows indentation or movement of metadata reads with direction_unclear and no risk or safety support; wider context is required.
manual_evidence_audit::503::3::gnutls__d223040e498bd50a4b9e0aa493e78587ae1ed653__CVE-2008-1948,high_quality_disagreement,gnutls,CVE-2008-1948,11-25,fresh_seeds_top5_v1,B,A,A,A,corrected_side,yes,A1,codex_ai_adjudication_v1,True,False,Side A removes the short-record ciphertext length check; selected window directly supports the pilot side.
manual_evidence_audit::13::2::squid__5e2ea2b13bd98f53e29964ca26bb0d602a8a12b9__CVE-2021-46784,high_quality_disagreement,squid,CVE-2021-46784,26+,project_holdout_top5_v1,B,A,A,A,corrected_side,yes,A3,codex_ai_adjudication_v1,True,False,Side A removes bounded snprintf temporary-buffer handling and reintroduces appendf formatting; selected window directly supports the pilot side.
manual_evidence_audit::13::4::linux-2.6__8a0a9bd4db63bc45e3017bedeafbd88d0eb84d02__CVE-2009-3238,high_quality_disagreement,linux-2.6,CVE-2009-3238,11-25,project_holdout_top5_v1,A,A,B,B,corrected_side,partial,B1,codex_ai_adjudication_v1,True,False,Side B removes the replacement RNG path and restores custom key-hash random generation; selected window supports the pilot side but wider function context would strengthen confidence.
manual_evidence_audit::42::8::linux__6cd1ed50efd88261298577cd92a14f2768eddeeb__CVE-2020-36558,high_quality_disagreement,linux,CVE-2020-36558,11-25,rank6_10_v1,A,A,B,B,corrected_side,partial,B2;B3,codex_ai_adjudication_v1,True,False,Side B removes resize_user and font resize handling around console resize; selected windows support the pilot side but wider surrounding logic would strengthen confidence.
manual_evidence_audit::601::1::hexchat__4e061a43b3453a9856d34250c3913175c45afe9d__CVE-2016-2087,insufficient_context,hexchat,CVE-2016-2087,26+,fresh_seeds_top5_v1,A,A,unclear,unclear,insufficient_context,no,,codex_ai_adjudication_v1,True,False,Capability handling rewrite has mixed added and removed protection signals on both sides; selected windows do not isolate the vulnerable behavior.
manual_evidence_audit::503::1::linux__ad9f151e560b016b6ad3280b48e42fa11e1a5440__CVE-2021-46283,insufficient_context,linux,CVE-2021-46283,26+,fresh_seeds_top5_v1,B,A,unclear,B,confirmed_gold,partial,B2,codex_ai_adjudication_v1,True,False,Side B removes userdata handling and associated error-path structure visible in B2; evidence supports stored gold but wider function context would strengthen confidence.
manual_evidence_audit::211::1::rpm__bd36c5dc9fb6d90c46fbfed8c2d67516fc571ec8__CVE-2021-3521,insufficient_context,rpm,CVE-2021-3521,26+,fresh_seeds_top5_v1,A,A,unclear,A,confirmed_gold,partial,A1,codex_ai_adjudication_v1,True,False,Side A removes the multi-packet allocation/self-signature parsing structure and replaces it with a narrower packet path; evidence supports stored gold but remains context dependent.
manual_evidence_audit::307::4::GIMP__22e2571c25425f225abdb11a566cc281fca6f366__CVE-2017-17786,insufficient_context,GIMP,CVE-2017-17786,03-05,fresh_seeds_top5_v1,A,A,unclear,unclear,insufficient_context,no,,codex_ai_adjudication_v1,True,False,AlphaBits condition change is direction_unclear with no risk or safety support; helper semantics and image format context are required.
manual_evidence_audit::42::4::furnace__0eb02422d5161767e9983bdaa5c429762d3477ce__CVE-2022-1289,insufficient_context,furnace,CVE-2022-1289,26+,project_holdout_top5_v1,A,A,unclear,A,confirmed_gold,partial,A1;B3,codex_ai_adjudication_v1,True,False,Side A removes or weakens visible range/invalid-value handling around pattern effect rendering; evidence supports stored gold but the large diff needs wider context.
