audit_id,queue_type,priority,review_action,gold_vulnerable_side,pilot_vulnerable_side,evidence_quality,selected_window_ids,final_vulnerable_side,label_status,evidence_span_sufficient,final_evidence_window_ids,reviewer,reviewed_at,rationale
manual_evidence_audit::601::1::hexchat__4e061a43b3453a9856d34250c3913175c45afe9d__CVE-2016-2087,insufficient_context,2,inspect_wider_context_before_direction_label,A,unclear,1,A1;B1,unclear,insufficient_context,no,,cyb2oo2_human_confirmation_v1,2026-06-30T00:00:00+08:00,Capability handling rewrite has mixed added and removed protection signals on both sides; selected windows do not isolate the vulnerable behavior. Independently confirmed by human reviewer; AI draft (reviewer=codex_ai_adjudication_v1) verdict and evidence sufficiency retained as-is after manual review.
manual_evidence_audit::503::1::linux__ad9f151e560b016b6ad3280b48e42fa11e1a5440__CVE-2021-46283,insufficient_context,2,inspect_wider_context_before_direction_label,B,unclear,1,A1;A2;B2,B,confirmed_gold,partial,B2,cyb2oo2_human_confirmation_v1,2026-06-30T00:00:00+08:00,Side B removes userdata handling and associated error-path structure visible in B2; evidence supports stored gold but wider function context would strengthen confidence. Independently confirmed by human reviewer; AI draft (reviewer=codex_ai_adjudication_v1) verdict and evidence sufficiency retained as-is after manual review.
manual_evidence_audit::211::1::rpm__bd36c5dc9fb6d90c46fbfed8c2d67516fc571ec8__CVE-2021-3521,insufficient_context,2,inspect_wider_context_before_direction_label,A,unclear,1,A1;B1,A,confirmed_gold,partial,A1,cyb2oo2_human_confirmation_v1,2026-06-30T00:00:00+08:00,Side A removes the multi-packet allocation/self-signature parsing structure and replaces it with a narrower packet path; evidence supports stored gold but remains context dependent. Independently confirmed by human reviewer; AI draft (reviewer=codex_ai_adjudication_v1) verdict and evidence sufficiency retained as-is after manual review.
manual_evidence_audit::307::4::GIMP__22e2571c25425f225abdb11a566cc281fca6f366__CVE-2017-17786,insufficient_context,2,inspect_wider_context_before_direction_label,A,unclear,1,A1;B1,unclear,insufficient_context,no,,cyb2oo2_human_confirmation_v1,2026-06-30T00:00:00+08:00,AlphaBits condition change is direction_unclear with no risk or safety support; helper semantics and image format context are required. Independently confirmed by human reviewer; AI draft (reviewer=codex_ai_adjudication_v1) verdict and evidence sufficiency retained as-is after manual review.
manual_evidence_audit::42::4::furnace__0eb02422d5161767e9983bdaa5c429762d3477ce__CVE-2022-1289,insufficient_context,2,inspect_wider_context_before_direction_label,A,unclear,1,A1;B3,A,confirmed_gold,partial,A1;B3,cyb2oo2_human_confirmation_v1,2026-06-30T00:00:00+08:00,Side A removes or weakens visible range/invalid-value handling around pattern effect rendering; evidence supports stored gold but the large diff needs wider context. Independently confirmed by human reviewer; AI draft (reviewer=codex_ai_adjudication_v1) verdict and evidence sufficiency retained as-is after manual review.
manual_evidence_audit::7::5::linux__04c2a47ffb13c29778e2a14e414ad4cb5a5db4b5__CVE-2022-1055,insufficient_context,2,inspect_wider_context_before_direction_label,A,unclear,1,A1;A2;B1;B2,unclear,insufficient_context,partial,A1;A2;B1;B2,cyb2oo2_human_confirmation_v1,2026-06-30T00:00:00+08:00,Pointer initialization appears reordered rather than clearly removed; selected windows show semantically close protection placement on both sides. Independently confirmed by human reviewer; AI draft (reviewer=codex_ai_adjudication_v1) verdict and evidence sufficiency retained as-is after manual review.
manual_evidence_audit::123::7::linux__d80b64ff297e40c2b6f7d7abc1b3eba70d22a068__CVE-2020-12768,insufficient_context,2,inspect_wider_context_before_direction_label,B,unclear,1,A1;B1,A,corrected_side,partial,A1,cyb2oo2_human_confirmation_v1,2026-06-30T00:00:00+08:00,Side A removes save-area cleanup/error-path protection while B restores cleanup structure; selected evidence favors correcting the stored gold side. Independently confirmed by human reviewer; AI draft (reviewer=codex_ai_adjudication_v1) verdict and evidence sufficiency retained as-is after manual review.
manual_evidence_audit::99::7::src__79a034b4aed29e965f45a13409268290c9910043__CVE-2020-35679,insufficient_context,2,inspect_wider_context_before_direction_label,A,unclear,1,A1;B1,unclear,insufficient_context,partial,A1;B1,cyb2oo2_human_confirmation_v1,2026-06-30T00:00:00+08:00,"Regex return/regfree control flow differs, but selected windows do not establish whether the security issue is leak, match behavior, or cleanup ordering. Independently confirmed by human reviewer; AI draft (reviewer=codex_ai_adjudication_v1) verdict and evidence sufficiency retained as-is after manual review."
manual_evidence_audit::7::9::linux__b2f37aead1b82a770c48b5d583f35ec22aabb61e__CVE-2022-1195,insufficient_context,2,inspect_wider_context_before_direction_label,A,unclear,1,A2;B2,unclear,insufficient_context,partial,A2;B2,cyb2oo2_human_confirmation_v1,2026-06-30T00:00:00+08:00,The same tty null assignment appears as an add/remove mirror; selected windows do not show the lifetime or use-after-free context needed for direction. Independently confirmed by human reviewer; AI draft (reviewer=codex_ai_adjudication_v1) verdict and evidence sufficiency retained as-is after manual review.
manual_evidence_audit::42::10::gpac__ebfa346eff05049718f7b80041093b4c5581c24e__CVE-2021-31258,insufficient_context,2,inspect_wider_context_before_direction_label,B,unclear,1,A3;B3,unclear,insufficient_context,partial,A3;B3,cyb2oo2_human_confirmation_v1,2026-06-30T00:00:00+08:00,Both sides show null-check additions around opposite descriptor-copy directions; API ownership semantics are needed before assigning a vulnerable side. Independently confirmed by human reviewer; AI draft (reviewer=codex_ai_adjudication_v1) verdict and evidence sufficiency retained as-is after manual review.
